,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ESS_vol_21,0.016450277857887725,-0.001772822928495455,0.0188963349634802,-0.016460297217163807,-0.04466250564508409,0.0009903355605850276,-0.03292490449981014,-0.001313471815092057,-0.0291266777269283,-0.005769138287709984,0.04210278254903257,-0.04447975956805597,0.007779751326350215,0.009768105899855937,0.008731385924264087
EXPE_vol_21,0.028457335540389223,-0.041648062117766824,-0.021338652797495434,-0.07613763427026302,-0.04562662516265375,0.05135943549345457,0.020498385958610397,0.025623960533353883,-0.027569160032432326,0.23157953472047849,-0.03566177371489944,-0.05949689422323063,0.19740423050169695,-0.03922742947101923,-0.046729074167233285
FAST_vol_21,-0.04225536828440742,0.010052534735066792,-0.017656236535476433,0.007886964251706782,0.018506325681500103,-0.037029385408020705,0.032790690023566,-0.012207144884107637,-0.04940229930028678,-0.03415282319365322,0.013243050453521156,0.007008515786561867,-0.019940453445149654,0.035666265115165456,0.0003051604842161478
FCX_vol_21,-0.02582384799898469,0.08406753080370609,0.159342033230813,0.13069327425249602,-0.010295439916122728,0.16183965402893796,0.1064673179925443,0.05620704565639153,0.07349111442631019,0.05917846940455847,0.10319378445112219,0.11400220571015209,0.05157031542700265,0.10986238460049386,-0.045196758804054306
FDS_vol_21,-0.008725904435261741,-0.009652135993072578,-0.00531005544010331,0.0025388636215760065,-0.0019499275936761496,-0.03147433588487983,0.02961280803765662,-0.029513795986831654,-0.008931933248910574,-0.06939194823519748,0.006550174480143112,0.0067861889643656215,0.024404671220416563,0.03273905919758304,0.0002581938549711517
FDX_vol_21,0.027331551459351667,0.021869398296220297,-0.01586921395292582,0.01600412841595534,0.05591268651048949,-0.010921652562556478,0.016445165859537796,-0.07195290311993764,0.01777281189778673,-0.13105066949283878,0.016006093210375532,0.07511948069647006,0.07338692496783308,0.07542262341064818,-0.03321461874389225
FFIV_vol_21,-0.044162527482524395,-0.08581758065822324,-0.022861478012159802,0.03745237065590007,0.04918329768899016,-0.030278295240346118,0.010059656903321617,0.07256104866956711,-0.02012289712241931,0.02794059642450209,-0.019089871246623705,0.018547550744762106,-0.019878412025018374,-0.036625405122839676,-0.09302734484520664
FOX_vol_21,-0.01005292020285904,-0.010293924600547386,0.031243836606924896,-0.02110605870758669,0.012856268486059584,-0.0175721041985354,0.0008605834226118431,0.029670711105090064,0.026914801398914796,0.014950226201187598,0.031929298799346306,-0.03874740097978823,-0.004983600731786685,-0.021749623634412688,0.0255882341867418
FOXA_vol_21,-0.003833939070031621,-0.008705298771908608,0.03253032228554119,-0.02423627048822002,0.016348685113030687,-0.018517170873957763,0.0037875494873653125,0.03684896516291882,0.03843524843695093,0.013847809992867091,0.03071835952886046,-0.037287947791897647,-0.0004578806828800511,-0.023644838079215975,0.025494970300782693
FRT_vol_21,0.03648887692433385,0.006441931878665521,0.052374331261647235,-0.05667086233577656,-0.02836131979107211,-0.029449080055235322,-0.03777526299073727,0.02347348839601852,-0.035669186613317486,-0.008487853852883101,-0.003353332987711858,-0.05428152048463716,-0.0028614106532556414,0.018552581818204503,0.03935456772906025
