,UMAP1,UMAP2
2013-06-10,-5.893415,7.0856137
2013-06-11,-5.8210936,7.092937
2013-06-12,-5.8229384,7.086014
2013-06-13,-5.7514105,7.1136026
2013-06-14,-5.796816,7.079873
2013-06-17,-5.711335,7.130811
2013-06-18,-5.725016,7.0995107
2013-06-19,-5.685465,7.1397614
2013-06-20,-5.6890445,7.1349454
2013-06-21,-5.639101,7.169964
2013-06-24,-5.6018567,7.190289
2013-06-25,-5.523917,7.2442155
2013-06-26,-5.432196,7.309094
2013-06-27,-5.4897847,7.2604213
2013-06-28,-5.462878,7.282212
2013-07-01,-5.4795313,7.265764
2013-07-02,-5.4561243,7.2854238
2013-07-03,-5.449304,7.297857
2013-07-05,-5.466644,7.274271
2013-07-08,-5.46731,7.2810864
2013-07-09,-5.64599,7.165401
2013-07-10,-5.679997,7.1350813
2013-07-11,-5.6382236,7.166428
2013-07-12,-5.6471314,7.163898
2013-07-15,-5.6680865,7.1485567
2013-07-16,-5.7240434,7.0921307
2013-07-17,-5.676463,7.0774965
2013-07-18,-5.6531596,7.0526404
2013-07-19,-2.7112024,5.71725
2013-07-22,-2.665494,5.7164655
2013-07-23,-2.6719985,5.7077174
2013-07-24,-2.654367,5.6950507
2013-07-25,-2.0966358,5.311668
2013-07-26,-4.640328,4.9406567
2013-07-29,-4.633462,4.9362187
2013-07-30,-4.655512,4.9546475
2013-07-31,-4.655676,4.9525485
2013-08-01,-4.639787,4.9398494
2013-08-02,-4.6419263,4.9418736
2013-08-05,-4.657026,4.9555607
2013-08-06,-4.631094,4.938914
2013-08-07,-4.605621,4.921034
2013-08-08,-4.6109467,4.920767
2013-08-09,-4.600902,4.9218874
2013-08-12,-4.607176,4.926987
2013-08-13,-4.6145883,4.9225845
2013-08-14,-4.5705385,4.8949795
2013-08-15,-4.59615,4.916595
2013-08-16,-4.572023,4.900584
2013-08-19,-4.5953393,4.938731
2013-08-20,-4.5717983,4.904725
2013-08-21,-3.8342726,4.5161443
2013-08-22,-3.8657618,4.6007266
2013-08-23,-3.931365,4.398511
2013-08-26,-3.954277,4.397497
2013-08-27,-3.9461982,4.383618
2013-08-28,-3.9467187,4.404812
2013-08-29,-3.9237306,4.4045444
2013-08-30,-3.9299903,4.410295
2013-09-03,-3.921351,4.396328
2013-09-04,-3.9322424,4.392965
2013-09-05,-3.9124534,4.398646
2013-09-06,-3.9100072,4.4059978
2013-09-09,-3.915753,4.364998
2013-09-10,-3.897501,4.3870487
2013-09-11,-3.902526,4.398239
2013-09-12,-3.8952105,4.3890147
2013-09-13,-3.876178,4.394254
2013-09-16,-3.8732572,4.402401
2013-09-17,-3.8742995,4.404464
2013-09-18,-3.875171,4.3703413
2013-09-19,-3.8465545,4.383381
2013-09-20,-3.680646,4.5384054
2013-09-23,-3.60091,4.5905633
2013-09-24,-3.4990864,4.6436296
2013-09-25,-3.5035858,4.6391535
2013-09-26,-3.440455,4.6772094
2013-09-27,-3.4662313,4.656782
2013-09-30,-3.502388,4.654499
2013-10-01,-3.4922366,4.6495905
2013-10-02,-3.4642801,4.6629205
