,regime
1970-01-01 00:00:00.922325400,1
1970-01-01 00:00:00.922411800,1
1970-01-01 00:00:00.922671000,1
1970-01-01 00:00:00.922757400,1
1970-01-01 00:00:00.922843800,1
1970-01-01 00:00:00.922930200,1
1970-01-01 00:00:00.923016600,1
1970-01-01 00:00:00.923275800,1
1970-01-01 00:00:00.923362200,1
1970-01-01 00:00:00.923448600,1
1970-01-01 00:00:00.923535000,1
1970-01-01 00:00:00.923621400,1
1970-01-01 00:00:00.923880600,1
1970-01-01 00:00:00.923967000,1
1970-01-01 00:00:00.924053400,1
1970-01-01 00:00:00.924139800,1
1970-01-01 00:00:00.924226200,1
1970-01-01 00:00:00.924485400,1
1970-01-01 00:00:00.924571800,1
1970-01-01 00:00:00.924658200,1
1970-01-01 00:00:00.924744600,1
1970-01-01 00:00:00.924831000,1
1970-01-01 00:00:00.925090200,1
1970-01-01 00:00:00.925176600,1
1970-01-01 00:00:00.925263000,1
1970-01-01 00:00:00.925349400,1
1970-01-01 00:00:00.925435800,1
1970-01-01 00:00:00.925781400,1
1970-01-01 00:00:00.925867800,1
1970-01-01 00:00:00.925954200,1
1970-01-01 00:00:00.926040600,1
1970-01-01 00:00:00.926299800,1
1970-01-01 00:00:00.926386200,1
1970-01-01 00:00:00.926472600,1
1970-01-01 00:00:00.926559000,1
1970-01-01 00:00:00.926645400,1
1970-01-01 00:00:00.926904600,1
1970-01-01 00:00:00.926991000,1
1970-01-01 00:00:00.927077400,1
1970-01-01 00:00:00.927163800,1
1970-01-01 00:00:00.927250200,1
1970-01-01 00:00:00.927509400,1
1970-01-01 00:00:00.927595800,1
1970-01-01 00:00:00.927682200,1
1970-01-01 00:00:00.927768600,1
1970-01-01 00:00:00.927855000,1
1970-01-01 00:00:00.928114200,1
1970-01-01 00:00:00.928200600,1
1970-01-01 00:00:00.928287000,1
1970-01-01 00:00:00.928373400,1
1970-01-01 00:00:00.928459800,1
1970-01-01 00:00:00.928719000,1
1970-01-01 00:00:00.928805400,1
1970-01-01 00:00:00.928891800,1
1970-01-01 00:00:00.928978200,1
1970-01-01 00:00:00.929064600,1
1970-01-01 00:00:00.929323800,1
1970-01-01 00:00:00.929410200,1
1970-01-01 00:00:00.929496600,1
1970-01-01 00:00:00.929583000,1
1970-01-01 00:00:00.929669400,1
1970-01-01 00:00:00.929928600,1
1970-01-01 00:00:00.930015000,1
1970-01-01 00:00:00.930101400,1
1970-01-01 00:00:00.930187800,1
1970-01-01 00:00:00.930274200,1
1970-01-01 00:00:00.930533400,1
1970-01-01 00:00:00.930619800,1
1970-01-01 00:00:00.930706200,1
1970-01-01 00:00:00.930792600,0
1970-01-01 00:00:00.930879000,0
1970-01-01 00:00:00.931138200,0
1970-01-01 00:00:00.931224600,0
1970-01-01 00:00:00.931311000,0
1970-01-01 00:00:00.931397400,0
1970-01-01 00:00:00.931483800,0
1970-01-01 00:00:00.931743000,0
1970-01-01 00:00:00.931829400,0
1970-01-01 00:00:00.931915800,0
1970-01-01 00:00:00.932002200,0
1970-01-01 00:00:00.932088600,0
1970-01-01 00:00:00.932347800,0
1970-01-01 00:00:00.932434200,0
1970-01-01 00:00:00.932520600,0
1970-01-01 00:00:00.932607000,0
1970-01-01 00:00:00.932693400,0
1970-01-01 00:00:00.932952600,0
1970-01-01 00:00:00.933039000,0
1970-01-01 00:00:00.933125400,0
1970-01-01 00:00:00.933211800,0
1970-01-01 00:00:00.933298200,0
1970-01-01 00:00:00.933557400,0
1970-01-01 00:00:00.933643800,0
1970-01-01 00:00:00.933730200,0
1970-01-01 00:00:00.933816600,0
1970-01-01 00:00:00.933903000,0
1970-01-01 00:00:00.934162200,0
1970-01-01 00:00:00.934248600,0
1970-01-01 00:00:00.934335000,0
1970-01-01 00:00:00.934421400,0
1970-01-01 00:00:00.934507800,0
1970-01-01 00:00:00.934767000,0
1970-01-01 00:00:00.934853400,0
1970-01-01 00:00:00.934939800,0
1970-01-01 00:00:00.935026200,0
1970-01-01 00:00:00.935112600,0
1970-01-01 00:00:00.935371800,0
1970-01-01 00:00:00.935458200,0
1970-01-01 00:00:00.935544600,0
1970-01-01 00:00:00.935631000,0
1970-01-01 00:00:00.935717400,0
1970-01-01 00:00:00.935976600,0
1970-01-01 00:00:00.936063000,0
1970-01-01 00:00:00.936149400,0
1970-01-01 00:00:00.936235800,0
1970-01-01 00:00:00.936322200,0
1970-01-01 00:00:00.936581400,0
1970-01-01 00:00:00.936667800,0
1970-01-01 00:00:00.936754200,0
1970-01-01 00:00:00.936840600,1
1970-01-01 00:00:00.936927000,1
1970-01-01 00:00:00.937186200,1
1970-01-01 00:00:00.937272600,1
1970-01-01 00:00:00.937359000,1
1970-01-01 00:00:00.937445400,1
1970-01-01 00:00:00.937531800,1
1970-01-01 00:00:00.937791000,1
1970-01-01 00:00:00.937877400,1
1970-01-01 00:00:00.937963800,1
1970-01-01 00:00:00.938050200,1
1970-01-01 00:00:00.938136600,1
1970-01-01 00:00:00.938395800,1
1970-01-01 00:00:00.938482200,1
1970-01-01 00:00:00.938568600,1
1970-01-01 00:00:00.938655000,1
1970-01-01 00:00:00.939346200,1
